"X","Depth","Age","Acalphyla","Acer","Aesculus","Alnus","Ambrosia","APIACEAE","Artemesia","ANACARDIACEAE","Betula","BRASSICACEAE","Bursera","Carya","CARYOPHYLLACEAE","Castenea","Ceanothus","Celtis","Cephalanthus","Amaranthaceae","Cupressaceae","CYPERACEAE","EUPHORBIACEAE","FABACEAE","Fagus","Fraxinus","Helianthemum","HS.ASTERACEAE","Asteraceae","Ilex","Juglans","Justicia","LILIACEAE","Liriodendron","Liquidambar","LS.ASTERACEAE","Magnolia","MALVACEAE","Morus","Myrica","Myriophyllum","Nuphar","Nyssa","Oenothera","Ostrya.Carpinus","Parthenicissus","Phlox","Pinus","Planera","Plantago","Platanus","Poaceae","Polygonum","Populus","Quercus","RANUNCULACEAE","RHAMNACEAE","Rhus","ROSACEAE","Rubus","Salix","SCROPHULARIACEAE","SOLANACEAE","Taxodium","Tilia","Typha","Ulmus","Urtica","Vitis","Degraded","Unidentified"
"PL1",629,8719,0,0,0,0,0,0,0,0,3.726708075,0,0,0,0,0,0,0.621118012,0.621118012,0,3.726708075,0,0,0,0,1.242236025,0,0,0.621118012,1.242236025,0,0,0,0,1.863354037,0.621118012,0,0,0,0.621118012,0,0,0,0,1.863354037,0,0,13.66459627,0,0,0,32.29813665,0,0,21.73913043,0.621118012,0.621118012,0,0,0,0.621118012,0,0,3.105590062,0,0.621118012,0,0,1.242236025,9.316770186,0
"PL2",644,8931,0,0,0,0,0,0,0,0,0,0,0,0.985221675,0,0,0,0,0.985221675,39.90147783,3.9408867,2.955665025,0,0.492610837,0,0.492610837,0,0,0.985221675,0,0,0,0,0,0,0.985221675,0,0,0,0.492610837,0.492610837,0,0,0,0.492610837,0,0,2.463054187,0,0,0,13.79310345,0,0,16.25615764,0.985221675,0,0,0,0,1.477832512,0,0,1.97044335,0,1.477832512,1.97044335,0,0,6.896551724,0.492610837
"PL3",658,9094,0,0,0,0,0,0,0,0,1.463414634,0,0,0,0,0,0,0.487804878,0,27.31707317,2.43902439,2.926829268,0,0,0,3.414634146,0,0.487804878,1.951219512,0.975609756,0,0,0.487804878,0,0.487804878,1.463414634,0,0,0,0.975609756,0.975609756,0,0,0,0.975609756,0,0,6.829268293,0.487804878,0,0.487804878,7.317073171,0,0,23.41463415,0.487804878,0,0,0,0,1.951219512,0,0,2.926829268,0.487804878,0,2.926829268,0,1.951219512,5.365853659,0.487804878
"PL4",672,9285,0,0,0,0,0,0,0,0,0.502512563,0,0,0,0,0,0,0,2.010050251,41.20603015,4.522613065,5.025125628,0,0.502512563,0,0,0,0,2.512562814,0,0,0,0,0,0,2.512562814,0,0,0,0,0,0,0,0,0.502512563,0,0,1.507537688,0,0,0,2.010050251,0,0.502512563,20.10050251,0,0,0.502512563,0.502512563,0,0.502512563,0,0,1.005025126,0,0,0.502512563,0,3.015075377,13.06532663,0
"PL5",686,9520,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,1.5,22,1,3.5,1.5,0,0,1.5,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0.5,0,0,2.5,0,0,0,3.5,0,0,34,1.5,0,0.5,1,0.5,3,0,0,1.5,0,0,0,0,2.5,8,0.5
"PL6",699,9763,0,0,0,0,0.476190476,0,0,0,0,0,0,0.476190476,0.476190476,0,0,0,0.476190476,42.85714286,0.476190476,1.428571429,0,0,0,0.476190476,0,0.952380952,3.333333333,0,0,0,0,0,0.476190476,2.380952381,0,0,0,0,0,0,0,0,0,0,0,1.904761905,0,0,0,1.428571429,0,0,32.85714286,0,0,0.476190476,0,0,4.761904762,0,0,0.952380952,0,0,1.904761905,0,0.952380952,3.80952381,0
"PL9",716,9905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.492537313,42.78606965,3.980099502,2.487562189,0.497512438,0,0,0,0,0.497512438,2.487562189,0,0,0,0,0,0,1.990049751,0,0,0,0,0,0,0.497512438,0,0,0,0,1.990049751,0,0,0,7.960199005,0,0.497512438,23.38308458,0,0,0,0,0,1.990049751,0.497512438,0,0.995024876,0,0,0,0,0.497512438,7.960199005,0
"PL10",730,10014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.03921569,3.921568627,0,0,0,0,0,0,0,5.392156863,0,0,0,0,0,0,5.392156863,0,0,0,0,0,0,0,0,0,0,0,0.490196078,0,0,0,1.960784314,0,0,32.84313725,0,0,0,0,0,0.490196078,0,0,0.490196078,0,0,1.960784314,0.490196078,0,3.431372549,0.490196078
"PL11",744,10119,0.490196078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.980392157,33.33333333,2.941176471,0,0,0,0,0.490196078,0,0,0.490196078,0,0,0,0,0,0,0.490196078,0,0,0,0,0,0,0,0,0.980392157,0,0,4.411764706,0,0,0,1.960784314,0,0,37.74509804,0,0.980392157,0,0,0,5.882352941,0,0,0,0,0,1.960784314,0,0.980392157,6.862745098,0
"PL12",758,10227,0,0,0,0,1.990049751,0,0,0,0,0,0,0.995024876,0.497512438,0,0,0,0.497512438,1.990049751,0,0.497512438,0,0,0,0,0,4.975124378,25.37313433,0,0,0,0.497512438,0,0,20.39800995,0,0,0,0,0,0,0,0,0,0,0,2.985074627,0.497512438,0,0,1.492537313,0,0,44.7761194,0,1.492537313,0,0,0,5.970149254,0,0,0,0,0,1.990049751,0,0.497512438,6.467661692,1.492537313
"PL14",780,10387,0,0,0,0,0,0,0.495049505,0,0,0.495049505,0,0,0,0,0,0,0.495049505,30.69306931,0.99009901,0.99009901,0,0,0,0,0,1.485148515,6.435643564,0,0,0,0,0,0,4.95049505,0,0,0,0,0,0,0,0,0,0,0,1.98019802,0,0,0,3.96039604,0,0,4.455445545,0,0.495049505,0,0,0,0,0,0,0,0,0,0.495049505,0,0,48.01980198,0
"PL15",793,10660,0,0,0,0,0,0,0,0.476190476,0.476190476,0,0,0,0.476190476,0,0,0,0.476190476,30,2.380952381,1.428571429,0.476190476,0,0,0,0,2.380952381,3.333333333,0,0,0,0,0,0,0.952380952,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,0,0,4.761904762,0,0,17.61904762,0,0,0,0,0,2.380952381,0,0,0.952380952,0,0,0.952380952,0,1.428571429,29.04761905,0
"PL16",806,11393,0,0,0,0,0.462962963,0,0,0,0.925925926,0,0,3.703703704,0,0,0,1.851851852,0.462962963,6.018518519,10.64814815,2.777777778,0.462962963,0.462962963,0,1.851851852,0,1.851851852,4.62962963,0.462962963,0,0,0,0,1.388888889,2.777777778,0,0,0,0.462962963,0,0,0,0,0.925925926,0,0,12.96296296,0,0,0,23.14814815,0,0,12.03703704,0,0,0,0,0,2.777777778,0,0,3.703703704,0,0,0.925925926,0.462962963,0.925925926,3.703703704,1.851851852
"PL39",812,11883,0,0.497512438,0,0,0,0,0,0,0.497512438,0,0,4.975124378,0,0,0,0,0.995024876,8.955223881,4.975124378,2.487562189,0,0.497512438,0,1.492537313,0,0.995024876,1.492537313,0,0,0,0,0,0.995024876,0.497512438,0,0,0,0.497512438,0.497512438,1.990049751,0,0,0.497512438,0,0,22.3880597,0,0,0.497512438,28.85572139,0,0,9.950248756,0,0,0,0,0,1.492537313,0,0,0.497512438,0,0,0.497512438,0,0,4.975124378,0
"PL17",819,12523,0,0.5,0,1.5,0,0,0,0,4,0,0,5.5,0,0,0,3,0.5,2,11,6.5,0,0,0,1.5,0,3,10,0,0.5,0,0,0.5,0.5,7,0,0,0,0.5,0.5,0,0,0,3.5,0,0.5,4,1,0,0,6,0.5,0,19,1,0,0,1,0,0.5,0,0,2.5,0,0,5.5,0,4,4.5,0
"PL18",832,12836,0,0,0,0,8.415841584,0,0,0,0.495049505,0,0,1.485148515,0,0,0,0.99009901,0,2.475247525,14.85148515,1.485148515,0,0.495049505,0,1.485148515,0,1.485148515,5.940594059,0.495049505,0,0,0,0,0.495049505,4.455445545,0,0,0,0,0.99009901,0,0,0,0.495049505,0,0,0,0,0,0.495049505,9.900990099,0,0,11.38613861,0,0.495049505,0.495049505,0,0,0.495049505,0,0,0.495049505,0.495049505,0,0.495049505,0,0.99009901,32.67326733,0.99009901
"PL19",845,12990,0,0,0,0,6,0,0,0,2.5,0,0,1,0.5,0,0,1,0,3.5,0.5,2,0,0,0,0,0,4,6.5,0,0,0,0,0,0.5,2.5,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,10.5,0,0,11.5,0,0,0,0,0,0.5,0,0,10.5,0,0,3,0,4,31,1
"PL21",857,13181,0,0,0,0,9.5,0,0,0,1,0,0,2.5,0,0,0,1,0,5,6.5,1.5,0,0,0,1.5,0,2.5,5.5,0,0.5,0,0,0,0.5,3,0,0,0,0,0.5,0,0,0,2.5,0,0,8,0,0,1.5,8.5,0,0,20.5,1,0.5,0,0,0,1.5,0,0,0,0,0,2.5,0,3,15,0
"PL22",871,13520,0,0,0,0,11.5,0,0,0,1.5,0,0,2,0,0,0,1,0,1.5,15,3.5,1,0.5,0.5,1.5,0,3,7,0.5,0,0,0,0,0.5,4,0,0,0,0,1,0,0,0,2,0,0,3.5,0,0,0.5,3,0,0,22,0,0,0,0,0,0,0,0,1.5,0.5,0,4.5,0.5,1.5,11,1
"PL23",884,13662,0,1,0,0,6.5,0.5,0,0,1,0,0,4,0,0,0,1,0,2.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,4,0,0,0,8.5,0,0,23,1,1.5,0,0,0,0,0,0,6.5,0.5,0,2,0.5,1.5,9,3
"PL24",897,13716,0,0,0,0,11.5,0,0.5,0,1.5,0,0,4,0,0,0,0.5,0.5,5,5.5,2.5,0.5,0,0,0.5,0,1.5,4,0.5,3,0,0,0,1,2.5,0,0.5,0,1.5,0,0,1,0,2,0,0,2.5,0,0,1,7.5,0,0,18.5,0.5,0,0.5,1,0,0,0,0,4,0,0.5,4,0,3.5,10,0
"PL25",913,13820,0,0,0,0,7.881773399,0,0,0,3.9408867,0,0,0.985221675,0,0,0.492610837,1.477832512,0,1.477832512,4.926108374,1.477832512,0,0,0,0,0,3.448275862,5.911330049,0,0.492610837,0,0,0,0,2.463054187,0,0,0,0,0,0,0.492610837,0,0.492610837,0,0,2.463054187,0,0.492610837,0,3.448275862,0,0,3.9408867,0.492610837,0.492610837,0,0.492610837,0,0,0.492610837,0,9.852216749,0,0,0.985221675,0,0.492610837,45.81280788,0.492610837
"PL27",919,13921,0,0,0,0,4.47761194,0,0,0,2.985074627,0,0,4.47761194,0,0,0,0.497512438,0.497512438,7.462686567,8.955223881,3.482587065,0,0,0,1.492537313,0,2.985074627,3.482587065,0,1.492537313,0,0,0,1.492537313,0.497512438,0,0,0,0.497512438,0,0,0,0,0.497512438,0.497512438,0,5.970149254,0,0,0.497512438,11.44278607,0,0,28.35820896,1.990049751,0,0,0,0,0,0,0,0,0,0,0.497512438,0,1.492537313,6.965174129,0.497512438
"PL28",931,14049,0,0.473933649,0,0,9.478672986,0,0,0,2.369668246,0.473933649,0,1.421800948,0.473933649,0,0,1.895734597,0.473933649,2.369668246,20.37914692,0.473933649,0,0.473933649,0,4.265402844,0,3.791469194,5.687203791,0,0,0,0,0,0.473933649,1.895734597,0,0,0.473933649,0.473933649,0,0,0,0,0.473933649,0,0,0.473933649,0,0,1.421800948,5.687203791,0,0,18.95734597,0.473933649,0,0.947867299,0,0,0.947867299,0,0,6.161137441,0,0,3.791469194,0,0.473933649,5.213270142,0
"PL29",954,14248,0,0,0,0,21,0,0,0,1,0,0,1.5,0.5,0,0,1,0,3.5,18.5,0.5,0,0,0,1,0,5,5.5,0,0,0,0,0,0.5,0.5,0,0,0.5,2,0,0,0,0,2,0,0.5,1.5,0.5,0.5,2.5,3.5,0,0,20.5,0,0,1.5,0.5,0,0.5,1,0,5,0,0,1,0.5,0.5,6.5,0
"PL32",960,14321,0,0,0,0,9.359605911,0,0,0,1.477832512,0,0,0.492610837,0,0.492610837,0,1.97044335,0.492610837,1.477832512,6.403940887,4.926108374,0.985221675,0.492610837,0,2.463054187,0.492610837,1.97044335,5.418719212,0,0,0,0,0,0.492610837,3.448275862,1.477832512,0,0,0.985221675,0,0,0,0,4.433497537,0,0,0,0,0.492610837,1.97044335,7.389162562,0,0,28.57142857,0,0.492610837,0,0,0,0.492610837,0,0.492610837,1.477832512,0.492610837,0.492610837,5.418719212,0,1.97044335,3.448275862,0.985221675
"PL33",974,14432,0,0.492610837,0,0,12.80788177,0,0,0,2.463054187,0,0,2.955665025,0.985221675,0,0,1.477832512,0,1.97044335,8.374384236,5.418719212,0,0,0,0.985221675,0,0.985221675,2.463054187,0,0,0,0,0,0.985221675,1.477832512,0.492610837,0,0,0,0,0,0,0.492610837,2.463054187,0,0,0.492610837,0,0,2.955665025,5.911330049,0,0,21.67487685,0,1.477832512,0,0,0,0.985221675,1.477832512,0,1.477832512,0.985221675,0.492610837,5.911330049,0,3.9408867,6.896551724,0.985221675
"PL34",987,14542,0,0,0,0,17.87439614,0,0,0.483091787,2.415458937,0,0,3.381642512,0.483091787,0,3.381642512,0.483091787,0,2.898550725,3.8647343,2.415458937,0,0.483091787,0,2.415458937,0,7.246376812,10.62801932,0,0.483091787,0,0,0,0.966183575,3.381642512,0,0,0,0.483091787,0,0,0.966183575,0,5.314009662,0,0,0.483091787,0.483091787,0,0,12.07729469,0,0.966183575,14.49275362,0,0,0.483091787,0,0,1.449275362,0,0,0,0.966183575,0.483091787,1.449275362,0.483091787,2.415458937,4.347826087,0
"PL36",1000,14665,0,0.5,0.5,0,1,0,0,0,7,0,0,1.5,1.5,1,0,1.5,0,1.5,4,1.5,0,0,0,1.5,0,2.5,4,0,0,0,0,0,1,1.5,0,0,0,0,0,0,0,0,8,0,0,0,0,1,2,6,0,1,18.5,0,1,0,1.5,0,0,0.5,0,2.5,0,0,2,0,2,25,2
"PL37",1013,14780,0,0,1,0.5,19,0,0,0,3.5,0.5,0,3.5,0,0,0,1.5,0,0.5,5.5,2,0,0,0,1.5,0,3.5,5.5,0,0,0.5,0,0,0,2,0,0,0,0.5,0,0,0,0,2.5,0,0,0,1.5,0,2.5,4,0,0,22,0,1,0,0,0,0,0,0,2,1.5,1,2,0,1.5,11.5,3
"PL38",1036,16260,0,0.5,0,0,14.5,0,0,0,1,0,0,3.5,0.5,0,0,2.5,0,3.5,5,1,0,1,0,0,0,2,7.5,0,0,1,0,0,0.5,5.5,0,0,0,3,0,0,0.5,0,2.5,0,0.5,0.5,0,0,2,8.5,0,0,24,0,2,0,0,0,0,0,0,2,0,0,4,0,1.5,5.5,2
